,step,amount,oldbalanceOrig,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
0,373,120744.93,68997.0,0.0,0.0,120744.93,0
1,93,67903.23,634.0,68537.23,3528462.96,3460559.73,0
2,96,11196.39,1355806.66,1367003.05,493018.52,481822.13,0
3,354,1665.34,171563.59,169898.25,0.0,0.0,0
4,282,74813.74,0.0,0.0,1112970.42,1187784.16,0
5,275,287952.23,3750.0,0.0,190890.75,478842.97,0
6,275,44873.96,13637.4,0.0,92466.14,137340.1,0
7,285,42419.61,0.0,0.0,0.0,0.0,0
8,139,102790.35,20795.0,0.0,119527.61,222317.96,0
9,256,17652.11,0.0,0.0,0.0,0.0,0
10,276,220138.47,654.0,0.0,2532645.29,2752783.76,0
11,228,112690.69,315983.95,203293.25,797692.77,910383.46,0
12,35,8732.07,0.0,0.0,0.0,0.0,0
13,525,65500.94,0.0,0.0,4303162.6,4368663.55,0
14,383,4452.86,16951.0,12498.14,0.0,0.0,0
15,139,191181.39,0.0,0.0,307234.37,498415.77,0
16,690,37274.19,21459.0,0.0,2416623.88,2453898.07,0
17,162,219078.73,2657559.89,2876638.62,889782.89,670704.17,0
18,212,46803.0,52882.0,6079.0,138044.48,184847.49,0
19,514,119271.76,86528.67,0.0,415022.9,534294.66,0
20,253,46832.9,138.0,0.0,4106.65,0.0,0
21,396,152353.07,60667.0,213020.07,2984962.93,2832609.86,0
22,183,471.61,103199.0,102727.39,0.0,0.0,0
23,159,14041.69,252102.83,238061.14,0.0,0.0,0
24,258,114809.53,5395086.4,5509895.93,807037.93,692228.4,0
25,378,14624.65,257.0,0.0,0.0,0.0,0
26,132,508405.34,350918.0,0.0,281218.41,789623.75,0
27,19,114337.18,27321221.81,27435558.99,323565.55,537744.75,0
28,20,7320.94,0.0,0.0,0.0,0.0,0
29,214,4438.15,123980.0,119541.85,0.0,0.0,0
30,254,801.82,861.0,59.18,0.0,0.0,0
31,225,99343.59,655285.0,754628.59,171210.6,71867.01,0
32,35,170348.91,2500824.79,2671173.7,896199.0,725850.09,0
33,211,7947.49,572.0,0.0,0.0,0.0,0
34,590,7846.09,0.0,0.0,0.0,0.0,0
35,225,64163.12,5347.0,69510.12,57559.88,0.0,0
36,258,97732.47,0.0,0.0,744369.31,842101.77,0
37,370,38703.8,128245.0,89541.2,403414.43,442118.23,0
38,210,13480.41,361.25,0.0,0.0,0.0,0
39,183,128391.13,51941.0,0.0,319552.08,447943.21,0
40,136,57350.49,0.0,0.0,703172.85,760523.34,0
41,278,276322.27,304026.0,580348.27,1970045.35,1693723.09,0
42,258,12415.16,7180.0,0.0,0.0,0.0,0
43,156,14974.4,0.0,0.0,0.0,0.0,0
44,281,5125.29,0.0,0.0,0.0,0.0,0
45,254,255501.38,3790758.7,4046260.08,345536.66,90035.28,0
46,234,382979.94,294.0,0.0,33255.96,416235.9,0
47,380,385279.4,10373.0,0.0,109463.03,494742.44,0
48,237,752.55,60118.0,59365.45,0.0,0.0,0
49,205,197156.35,6970577.13,7167733.48,2856752.05,2659595.69,0
50,231,110800.37,51310.0,0.0,0.0,110800.37,0
51,281,55051.61,728835.93,783887.53,155600.74,100549.13,0
52,278,75853.08,0.0,0.0,996388.96,1072242.03,0
53,522,4856.6,0.0,0.0,0.0,0.0,0
54,37,15790.35,0.0,0.0,0.0,0.0,0
55,404,135795.63,0.0,0.0,1865231.04,2001026.66,0
56,274,8194.93,17336.0,9141.07,0.0,0.0,0
57,186,279.2,514.0,234.8,0.0,0.0,0
58,12,408724.08,104663.0,0.0,490029.02,1279762.04,0
59,187,156312.65,40281.0,196593.65,0.0,0.0,0
60,302,50989.15,56915.05,5925.9,0.0,0.0,0
61,131,5211.9,502.0,0.0,0.0,0.0,0
62,13,42906.26,90556.0,133462.26,0.0,0.0,0
63,355,74029.47,0.0,0.0,4608361.04,4682390.52,0
64,322,110146.67,18394.0,0.0,2272718.09,2382864.77,0
65,401,342643.08,0.0,0.0,808369.81,1151012.9,0
66,134,36515.85,504563.21,468047.37,0.0,0.0,0
67,20,401.41,0.0,0.0,0.0,0.0,0
68,352,1097144.04,107850.0,0.0,103575.92,1200719.96,0
69,131,17924.44,59119.97,41195.53,0.0,0.0,0
70,42,190504.44,0.0,0.0,1444255.63,1634760.07,0
71,164,19158.35,51591.0,32432.65,0.0,0.0,0
72,324,6693.5,0.0,0.0,0.0,0.0,0
73,41,11763.35,11337.57,0.0,0.0,0.0,0
74,514,237629.89,29955.0,267584.89,303024.76,65394.87,0
75,137,37775.72,47175.0,9399.28,23260.0,61035.72,0
76,40,11661.2,11109.0,0.0,0.0,0.0,0
77,9,4012.6,248747.4,244734.81,974.0,6113964.5,0
78,251,627118.23,18115.0,645233.23,0.0,0.0,0
79,17,20793.63,236978.73,216185.11,0.0,0.0,0
80,327,55415.49,255890.23,200474.74,0.0,0.0,0
81,347,76582.46,362394.0,438976.46,11395.11,0.0,0
82,396,374267.99,7882387.54,8256655.53,643890.64,269622.65,0
83,284,169526.56,1531.32,0.0,539800.04,709326.6,0
84,352,29089.48,11612.0,0.0,0.0,0.0,0
85,178,108090.45,4325027.6,4433118.05,2936582.89,2828492.44,0
86,377,180455.24,53622.0,0.0,1774108.58,1954563.81,0
87,153,1505435.96,20206.0,0.0,57041.64,1562477.59,0
88,403,74478.3,0.0,0.0,470784.19,545262.49,0
89,355,381.8,0.0,0.0,540556.58,540938.38,0
90,162,68023.07,0.0,0.0,505181.86,573204.93,0
91,201,180169.11,0.0,0.0,2072059.33,2252228.44,0
92,325,319971.46,9121.0,0.0,0.0,319971.46,0
93,279,6150.54,0.0,0.0,0.0,0.0,0
94,255,12520.87,313122.27,300601.4,0.0,0.0,0
95,35,62.16,5235.0,5172.84,0.0,0.0,0
96,282,72540.92,25570.68,0.0,0.0,0.0,0
97,228,260928.62,16866.0,0.0,985792.19,1246720.8,0
98,230,453589.6,16867.0,0.0,16973.21,470562.81,0
99,186,19951.04,48.0,0.0,0.0,0.0,0
100,131,172662.23,21116.0,0.0,57244.9,229907.13,0
101,165,7687.0,11322.0,3635.0,0.0,0.0,0
102,686,6427.67,0.0,0.0,0.0,0.0,0
103,94,53784.23,0.0,0.0,150727.74,204511.97,0
104,130,61401.05,10447.0,71848.05,101808.31,427930.81,0
105,279,168754.24,10246.0,0.0,0.0,168754.24,0
106,138,43258.29,4398682.99,4441941.27,391719.08,348460.8,0
107,400,14741.47,0.0,0.0,0.0,0.0,0
108,25,18283.79,2482.0,0.0,0.0,0.0,0
109,301,16267.29,5688.0,0.0,0.0,0.0,0
110,323,70848.57,11708521.57,11779370.14,77641.32,6792.75,0
111,378,12081.45,3063163.86,3075245.31,673058.95,660977.5,0
112,13,224386.07,0.0,0.0,486776.24,711162.31,0
113,137,471148.52,2747011.23,3218159.75,14429957.41,13958808.9,0
114,190,59467.14,0.0,0.0,2746141.58,2805608.72,0
115,206,67461.19,56395.0,0.0,409795.0,477256.19,0
116,257,38753.39,0.0,0.0,814975.3,853728.69,0
117,595,123780.94,79642.0,203422.94,0.0,0.0,0
118,164,7782.65,50207.0,42424.35,0.0,0.0,0
119,250,165082.81,0.0,0.0,1028643.16,1193725.96,0
120,229,124377.79,51775.0,0.0,172535.23,296913.02,0
121,8,423496.28,0.0,0.0,533774.94,1805166.52,0
122,186,9166.63,0.0,0.0,0.0,0.0,0
123,231,14968.4,37408.9,22440.5,0.0,0.0,0
124,18,25839.4,0.0,0.0,4083959.58,4109798.99,0
125,380,130610.91,451.0,131061.91,4169.68,0.0,0
126,134,483823.81,6035.0,0.0,133214.13,617037.94,0
127,249,148894.67,0.0,0.0,374075.28,522969.96,0
128,21,20389.64,0.0,0.0,0.0,0.0,0
129,16,4674.24,0.0,0.0,380302.42,310694.69,0
130,157,95364.49,302710.0,207345.51,1586.5,96950.99,0
131,94,6286.59,584562.0,578275.41,0.0,0.0,0
132,355,16106.67,30305.0,14198.33,0.0,0.0,0
133,325,340392.48,0.0,0.0,1310800.42,1651192.9,0
134,161,390267.74,9130.0,0.0,428796.24,819063.98,0
135,41,4506.34,36577.0,32070.66,0.0,0.0,0
136,451,218309.09,9749019.02,9967328.11,263448.73,45139.64,0
137,544,505590.01,246337.4,0.0,3266213.44,3771803.45,0
138,17,103025.38,10721.0,0.0,768.0,103793.38,0
139,284,193128.47,409384.0,216255.53,381193.28,574321.75,0
140,249,153392.47,49755.0,203147.47,189261.68,35869.21,0
141,41,5808.24,0.0,0.0,0.0,0.0,0
142,307,10260.63,0.0,0.0,0.0,0.0,0
143,596,176604.8,4354699.65,4531304.45,6058246.23,5946797.47,0
144,158,4202.87,5281.0,1078.13,0.0,0.0,0
145,205,1451.55,198.0,0.0,0.0,0.0,0
146,350,35752.7,10856.0,0.0,0.0,0.0,0
147,298,282404.66,22008.0,304412.66,16643.81,0.0,0
148,304,35377.69,0.0,0.0,0.0,0.0,0
149,215,176064.88,0.0,0.0,2001632.38,2177697.26,0
150,20,13496.97,101245.74,87748.77,0.0,0.0,0
151,188,3991.72,0.0,0.0,0.0,0.0,0
152,24,8446.86,454092.0,445645.14,0.0,0.0,0
153,348,20710.22,1531.0,0.0,91185.64,111895.86,0
154,190,4702.77,0.0,0.0,0.0,0.0,0
155,332,213642.96,0.0,0.0,261638.57,475281.53,0
156,589,13483.53,0.0,0.0,0.0,0.0,0
157,546,82244.5,15997.0,98241.5,1290622.28,1208377.78,0
158,205,36487.61,0.0,0.0,471927.83,508415.43,0
159,335,1667.45,31861.0,30193.55,0.0,0.0,0
160,400,111969.0,7243809.82,7355778.82,130623.52,18654.51,0
161,276,6266.87,67320.11,61053.24,0.0,0.0,0
162,394,336158.59,7245.0,0.0,1432523.22,1768681.81,0
163,357,25814.01,171866.28,146052.28,0.0,0.0,0
164,7,8477.97,32175.0,23697.03,0.0,0.0,0
165,201,11266.64,0.0,0.0,0.0,0.0,0
166,297,219090.05,10903.0,0.0,2473043.62,2692133.67,0
167,179,301110.64,1006.0,302116.64,0.0,0.0,0
168,37,278039.74,68439.72,346479.46,275008.86,0.0,0
169,279,104854.24,11341.0,0.0,530400.15,364150.51,0
170,688,49973.38,0.0,0.0,5272320.21,5322293.58,0
171,181,11693.46,0.0,0.0,0.0,0.0,0
172,137,903.51,94540.0,93636.49,0.0,0.0,0
173,250,205143.04,2063.0,0.0,5277357.03,5482500.08,0
174,161,201178.57,701488.0,500309.43,82479.15,283657.72,0
175,154,198488.37,1702460.29,1900948.66,1740533.87,1542045.5,0
176,474,63593.25,50282.0,0.0,265821.14,329414.39,0
177,37,31821.57,15801.0,47622.57,0.0,0.0,0
178,259,7350.7,834.0,0.0,0.0,0.0,0
179,361,174622.2,3613950.36,3788572.56,247013.86,72391.66,0
